participant_id,segment_index,source_name,source_type,source_date,source_section,text,codes,rationale
001S,23,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_5|no_rag,"I just didn't hear about it, you know.",stigma,The lack of awareness suggests a barrier related to stigma and information dissemination.
001S,24,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_5|no_rag,"Do you think it's a good idea to implement, implement the HIV and Mo U D focus program in corrections?",healthcare_access,The question about implementing a program in corrections relates to access to healthcare services for individuals in that setting.
001S,25,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_5|no_rag,I think it's just the more education that we have about it and the more. Of resources that we have for people.,"social_support,healthcare_access",The emphasis on education and resources indicates both social support and healthcare access factors.
001S,26,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_6|no_rag,"let's say that you come from a community or a home where, like these things are not talked about, and then you're also here, and again, not being talked about or educated on it.","stigma,mental_health","The mention of a community where topics are not discussed indicates stigma, and the lack of education suggests mental health implications."
001S,27,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_6|no_rag,"If somebody comes to you and says, Hey, I want to talk to you about this, here's a safe space to do it.",social_support,The reference to a safe space for discussion indicates the presence of social support.
001S,28,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_6|no_rag,"to be able to talk about like, Yeah, I think I might have been exposed to somebody just being able to have those, those educational pieces, or the safety of a, you know, a safe space to be able to talk about it, to get help.","social_support,healthcare_access",The emphasis on having a safe space and educational pieces suggests social support and access to healthcare.
001S,29,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_6|no_rag,I feel like people need to do what's best for them.,,This statement is general and does not specifically address any of the coded themes.
001S,30,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_6|no_rag,"I can tell you, in my experience, I know a lot of people are more have had better experiences with an injectable MAT, medication or MOUD.",healthcare_access,The mention of better experiences with medication indicates issues related to healthcare access.
001S,31,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_7|no_rag,"It kind of eliminates the need to have to do this daily regimen where they can do maybe they can go to a yoga class, or they can go to an AA meeting, or they can go see their therapist.","mental_health,social_support","The mention of yoga classes, AA meetings, and therapy indicates support for mental health and social engagement."
001S,32,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_7|no_rag,"do maybe they can go to a yoga class, or they can go to an AA meeting, or they can go see their therapist.","mental_health,social_support",The activities mentioned support mental health and social connections.
001S,33,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_7|no_rag,"I think telehealth, access to telehealth, is important for everybody as an option.",healthcare_access,The emphasis on telehealth indicates a focus on improving access to healthcare.
001S,34,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_7|no_rag,Some people don't drive. Some people don't have access to maybe they have a doctor that they've used for their entire life that is somewhere far away.,"healthcare_access,environmental_barrier",The lack of transportation and distance to healthcare providers are barriers to accessing care.
001S,35,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_7|no_rag,"we just need more access to outside providers, more access to care coordinators, to be able to come into the jail and to be proactive.",healthcare_access,The need for more access to providers and care coordinators highlights issues with healthcare access.
001S,36,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_8|no_rag,"there's just not enough education about it, or enough conversations about it.",healthcare_access,The mention of a lack of education indicates a barrier to understanding healthcare options.
001S,37,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_8|no_rag,I think just allowing people to have more access to the at home self tests.,healthcare_access,This statement emphasizes the need for increased access to healthcare resources.
001S,38,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_8|no_rag,"I think just allowing people to have more access to the at home self tests, more access to educational resources.",healthcare_access,The focus on access to both self-tests and educational resources highlights barriers in healthcare access.
001S,39,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_8|no_rag,"I think that, again, workforce, there's a struggle with having even access to 12 step meetings in the jail.",healthcare_access,The struggle for access to support meetings indicates a barrier in healthcare engagement.
001S,40,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_8|no_rag,I think we just have a lack of resources in the county that are available.,healthcare_access,The lack of available resources points to barriers in accessing healthcare services.
001S,41,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_9|no_rag,"I think having, and I'm gonna regret saying this, but having a refresher could also be helpful.",,The statement does not directly address any of the factors related to HIV care engagement.
001S,42,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_9|no_rag,"I think also, too, that the from my remembering correctly, there was a lot more that TechMmpower wanted to show us, but we were running out of time.",,The comment reflects on time constraints but does not specify barriers related to the allowed codebook categories.
001S,43,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_9|no_rag,I think it could help reduce the number of people who are exposed or infected or who might want or who might be struggling with with a substance use.,healthcare_access,The mention of reducing exposure and infection relates to improving access to healthcare services.
001S,44,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_9|no_rag,it's giving them access to care.,healthcare_access,"This statement directly addresses the importance of access to care, which is a key factor in HIV care engagement."
001S,45,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_9|no_rag,we try to help with everything.,social_support,"The phrase indicates a supportive approach, which aligns with the concept of social support in healthcare."
001S,46,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_10|no_rag,"if you need access to a therapist, we'll help you out.",healthcare_access,"The segment discusses providing access to a therapist, indicating a focus on healthcare access."
001S,47,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_10|no_rag,try to make it more user friendly dealing I feel like knowing your audience.,,The segment suggests improving user-friendliness but does not directly relate to the allowed codes.
001S,48,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_10|no_rag,simplified language is helpful.,,The segment mentions simplified language but does not connect to the allowed codes.
001S,49,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_10|no_rag,"maybe more stories, also illustrations or demonstrations of a point.",,The segment suggests using stories and illustrations but does not relate to the allowed codes.
001S,50,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_10|no_rag,drive destigmatizing conversations.,stigma,"The segment explicitly mentions destigmatizing conversations, which relates to stigma."
001S,51,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_11|no_rag,"staff turnover, gaps in staffing, lack of key supports, funding, facilitation, difficulties, confidentiality, adequate space.","healthcare_access,environmental_barrier","Staff turnover and gaps in staffing indicate barriers to healthcare access, while funding and adequate space relate to environmental barriers."
001S,52,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_11|no_rag,"staff turnover, gaps in staffing, lack of key supports",healthcare_access,Staff turnover and gaps in staffing highlight issues affecting healthcare access.
001S,53,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_11|no_rag,"communication between them, and like knowing what exactly their processes are",healthcare_access,Communication and understanding processes are essential for effective healthcare access.
001S,54,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_11|no_rag,"funding, I'm assuming, is always an issue",environmental_barrier,Funding issues represent an environmental barrier to effective HIV care engagement.
001S,55,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_11|no_rag,"access to more technology could be helpful, especially in the way of like the telehealth",healthcare_access,"Access to technology, particularly telehealth, is crucial for improving healthcare access."
001S,56,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_12|no_rag,"better conversations, you know, opening up the doors to those, those kinds of things",social_support,"The mention of 'better conversations' suggests an improvement in social interactions, which relates to social support."
001S,57,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_12|no_rag,"having somebody that's like, just doing the kind of evaluation of the kinds of services you provide",healthcare_access,The focus on evaluation of services indicates a concern with access to healthcare services.
001S,58,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_12|no_rag,"the jail, you know, ya know, that process was, was pretty easy.",healthcare_access,The mention of 'the jail' and the ease of the process suggests a context where healthcare access is being navigated within a correctional facility.
001S,59,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_12|no_rag,I have weekly check ins with like Dr ha and Dawn,"healthcare_access,social_support",Weekly check-ins with healthcare providers indicate both access to healthcare and the presence of social support.
001S,60,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_12|no_rag,"I think having Dr hunt and Dawn, I guess that you call that like supervision.","healthcare_access,social_support",The reference to 'supervision' by healthcare providers suggests both access to healthcare and a supportive relationship.
001S,61,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_13|no_rag,How do you keep a program going once you have implemented it just becomes part of the process.,,The segment discusses program sustainability but does not directly address any of the specified factors.
001S,62,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_13|no_rag,"I think again, having a ..casting the net a little wider to include more people.",social_support,The mention of including more people suggests a focus on social support networks.
001S,63,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_13|no_rag,"providing resources to people, no matter",healthcare_access,"The segment emphasizes providing resources, which relates to access to healthcare."
001S,64,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_13|no_rag,"it's all the same. I really think that it's an educational piece, and providing more resources.",healthcare_access,The focus on education and resources indicates a connection to improving healthcare access.
001S,65,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_13|no_rag,What sort of training and staffing would be needed to implement a program like tech empower.,,The segment discusses training and staffing needs without addressing the specified factors.
001S,66,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_14|no_rag,"What kind of what sort of training and staffing would be needed to implement a program like this, focusing on, Speaker 2 38:01 I think 38:04 again, talking maybe, maybe talking about like, what is a program?",,The segment discusses training and staffing needs but does not directly address any of the specified factors.
001S,67,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_14|no_rag,"Because then this way, sometimes people don't know, what does that foundation look like, of building a program or starting a program, right?",,The segment focuses on the foundation of building a program without addressing the specified factors.
001S,68,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_14|no_rag,"So I think maybe because not everybody's cut from a different cloth, right? Or no two people are alike that are going to be doing this for the most part.",,The segment reflects on individual differences but does not relate to the specified factors.
001S,69,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_14|no_rag,"What funding would you say is needed to sustain implementation? Speaker 2 39:10 Grants, lots of grants, all the grants.",,The segment discusses funding needs but does not connect to the specified factors.
001S,70,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_14|no_rag,"I think we broke down a lot of barriers. Since tech Empower has broken down a lot of barriers since starting, you know, the initial implementation of this, and I think that there's a lot more work that needs to get done.",environmental_barrier,"The segment mentions breaking down barriers, which aligns with the environmental factors influencing HIV care engagement."
001S,71,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_15|no_rag,"I think re entry services, rehabilitation services, educational services, I think all of those things could be helpful for people.",healthcare_access,"The mention of re-entry, rehabilitation, and educational services indicates a focus on access to healthcare and support services."
001S,72,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_15|no_rag,I think it's just just really my thoughts. I think it's cool to be a part of something like this.,,The statement expresses personal feelings but does not address any of the factors in the codebook.
001S,73,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_15|no_rag,it's just just really my thoughts. I think it's cool to be a part of something like this.,,"Similar to INPUT_ID 2, this expresses personal feelings without addressing relevant factors."
001S,74,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_15|no_rag,"The sheriff always uses the word Trailblazers when it comes to these sort of things, because this kind of stuff is not getting done.",social_support,The reference to 'Trailblazers' suggests a community or social initiative aimed at addressing unmet needs.
001S,75,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_15|no_rag,"You know, there's not many jails that are doing this kind of stuff.",environmental_barrier,The mention of jails not providing certain services highlights an environmental barrier to care.
001S,76,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_16|no_rag,"So to be a part of it, for me, it's a very humbling experience.",,The statement reflects a personal feeling but does not indicate any specific barriers or supports related to HIV care engagement.
001S,77,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_16|no_rag,It's pretty cool.,,The expression is positive but lacks context related to HIV care engagement factors.
001S,78,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_16|no_rag,"Not…. you deserve so much respect in that position and doing it actually, yeah, yeah, it's cool.",,"While it acknowledges respect for someone's role, it does not address barriers or supports in HIV care engagement."
001S,79,001S Qual Interview 2025-05-14 (1).pdf,interview,2025-05-14,001S|interview|001S_Qual_Interview_2025-05-14_1_.pdf|batch_16|no_rag,but that's it. Yeah. Thank you so much.,,The statement is a closing remark and does not provide information relevant to HIV care engagement factors.
